Country of Origin,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Region
Norway,96,63,90,95,107,130,146,115,131,156,156,137,165,172,152,104,133,152,108,153,160,177,185,159,141,164,169,212,190,203,243,227,303,337,415,447,475,531,449,525,541,562,693,827,905,936,977,1102,1169,1166,1111,Europe
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,2,0,5,3,0,6,2,7,4,8,1,9,4,Middle East
Pakistan,2,1,0,1,0,2,0,0,1,3,1,0,0,1,0,4,1,4,0,2,1,1,3,2,1,0,0,2,1,0,3,2,7,2,2,7,6,4,3,4,7,13,15,13,9,18,32,12,48,36,37,Asia
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Oceania
Panama,1,0,0,0,4,4,0,3,5,5,3,2,3,3,1,2,1,0,2,4,1,2,1,0,1,4,1,1,4,4,8,4,2,7,5,6,6,2,14,1,6,5,9,6,8,1,6,6,6,12,11,North America
Paraguay,0,0,0,0,2,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,3,1,1,South America
Peru,16,4,7,7,7,4,5,5,9,7,7,8,4,2,1,2,4,1,2,2,3,5,6,9,7,7,1,4,5,6,5,4,3,6,5,5,8,8,8,5,2,2,3,6,7,9,10,7,8,10,23,South America
Philippines,2,12,4,9,13,17,12,8,11,11,17,22,15,16,8,17,16,27,15,10,15,10,11,14,13,9,10,10,9,7,12,9,15,13,20,32,51,58,42,82,65,69,81,69,55,80,79,64,85,123,126,Asia
Poland,27,50,48,55,59,45,51,35,50,61,47,59,68,68,83,65,49,25,21,44,13,19,23,26,24,13,21,16,27,20,19,22,19,19,31,33,39,46,59,101,102,98,74,133,135,185,197,307,377,463,507,Europe
Portugal,18,11,12,15,13,10,9,7,10,12,10,7,3,1,8,7,6,5,6,8,9,13,15,7,9,6,3,11,9,14,10,16,12,17,28,17,28,27,20,30,33,42,57,84,91,111,91,118,133,145,163,Europe
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,0,1,3,1,5,6,15,19,18,53,39,Middle East
"Rhodesia, South",1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Africa
Rhodesia,0,3,3,1,2,4,0,0,3,9,6,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Africa
Romania,15,15,45,53,59,45,53,65,29,42,29,20,22,30,17,9,13,8,7,6,4,2,3,0,2,1,1,2,5,4,7,5,12,11,8,12,14,8,11,16,18,29,48,44,62,82,93,94,124,147,165,Europe
Russian Federation,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,153,206,221,254,249,273,388,382,433,377,341,334,366,412,444,547,522,606,719,888,959,1007,991,Asia
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,1,0,0,0,0,1,Oceania
Saint Kitts And Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Caribbean
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,2,1,1,1,0,0,3,Europe
Saudi Arabia,0,3,4,1,5,0,0,0,6,2,5,3,1,4,1,3,3,13,8,8,1,9,15,12,12,8,12,11,17,23,24,19,17,26,11,28,26,37,32,37,38,62,64,111,147,317,326,465,649,650,794,Middle East
Senegal,0,0,0,0,5,0,0,0,0,0,1,0,1,2,2,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Africa
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,14,10,25,22,20,28,40,35,Europe
Serbia & Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,Europe
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,1,0,1,2,7,4,10,6,3,Africa
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Africa
Singapore,0,4,0,0,2,0,5,6,4,3,5,7,7,6,9,6,5,6,11,9,19,17,17,17,37,36,63,89,104,134,144,176,213,336,460,632,786,807,771,879,919,1143,1188,1266,1225,1540,1564,1688,1722,1869,1833,Asia
Sint Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,North America
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,2,3,6,5,10,6,8,5,12,16,20,27,29,30,41,29,40,46,51,63,Europe
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,11,13,19,24,29,21,27,20,36,38,50,43,50,63,68,76,107,87,82,98,103,86,Europe
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oceania
South Africa,99,83,101,102,115,98,149,145,165,152,179,149,169,175,206,203,213,199,207,216,227,204,239,192,215,185,186,207,246,238,187,189,174,211,179,209,231,241,224,246,197,231,252,265,318,320,339,318,415,375,352,Africa
South Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia
South-West Africa,0,0,0,0,15,0,0,0,0,6,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Africa
Spain,93,116,106,133,145,123,156,138,204,175,182,172,152,144,163,142,147,159,157,196,207,225,228,231,302,289,258,313,269,315,357,359,370,409,464,549,601,564,606,696,701,844,966,1216,1162,1422,1501,1641,1707,1640,1671,Europe
Sri Lanka,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,1,3,1,0,2,2,0,6,1,3,3,4,6,8,11,12,6,9,10,11,16,11,11,Asia
St. Kitts/Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,2,2,7,0,0,1,0,0,0,0,0,0,0,0,0,North America
St. Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,North America
St. Vincent/Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North America
Sudan,1,0,0,0,2,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Africa
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,South America
Swaziland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,6,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Africa
Sweden,833,858,825,941,1070,957,1148,1078,1335,1357,1359,1251,1253,1221,1137,1207,1191,1144,1181,1306,1239,1229,1155,1028,1114,1057,1086,1072,1157,1405,1500,1481,1980,2359,2570,2825,2827,2410,2314,2270,2243,2680,3164,3265,3515,3840,4140,4390,4509,4928,5159,Europe
Switzerland,1377,1399,1513,1551,1698,1770,1848,1963,2076,2057,2131,2053,1964,2056,1836,1975,1828,1820,1716,1808,1894,1929,1857,1993,2019,1931,1902,1922,1759,1852,1917,1609,1637,1875,2144,2233,2337,2338,2275,2316,2447,2773,3079,3353,3508,4017,4086,4394,4747,4906,5118,Europe
Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,1,1,0,0,1,0,0,1,1,2,6,1,1,3,3,1,2,0,0,1,2,0,4,2,1,0,3,Middle East
Taiwan,8,16,13,3,19,27,28,40,66,102,113,127,174,243,262,367,394,509,530,601,760,959,1182,1246,1507,2035,2252,2667,2874,3560,4054,4766,5492,7412,9411,9046,11086,12488,13786,15057,16617,19301,18486,18001,18661,20151,19633,20270,21262,20201,19471,Asia
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Asia
Tanzania,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Africa
Thailand,1,0,0,1,3,0,14,0,2,2,4,0,1,4,3,1,5,3,5,4,5,7,8,4,3,8,4,11,15,19,21,20,21,26,41,92,70,61,60,69,68,71,99,96,94,108,127,134,167,155,150,Asia
Trinidad & Tobago,0,0,0,0,1,0,2,3,1,2,4,8,7,3,4,0,1,3,1,2,1,2,6,5,0,2,1,1,3,2,1,0,1,0,2,5,2,1,3,2,4,2,10,7,7,10,11,7,12,5,10,Caribbean
Tunisia,0,0,0,0,0,0,0,0,0,0,1,2,1,4,3,3,2,1,1,0,0,0,1,1,1,1,0,2,0,1,0,0,0,0,1,0,1,3,2,3,1,2,5,10,6,5,4,12,16,13,14,Africa
Turkey,5,4,3,1,6,5,3,3,4,6,3,9,2,3,6,3,2,8,1,6,11,4,5,7,3,6,3,2,3,5,6,7,10,16,29,28,28,36,28,48,46,71,66,85,85,150,184,197,203,306,320,Asia
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,Asia
Turks And Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,6,6,6,4,1,3,5,1,1,2,0,1,1,3,1,Caribbean
Uganda,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,2,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Africa
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,14,17,18,24,28,22,40,32,43,45,38,37,41,40,45,66,64,104,124,135,131,138,Europe
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,4,3,1,2,0,2,2,2,3,3,4,7,2,6,12,17,16,24,25,34,44,52,61,98,135,123,166,Middle East
United Arab Rep.,2,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Middle East
United Kingdom,4479,4238,4597,4660,5216,4746,4734,4811,4914,5109,4568,4529,4533,4468,4270,4178,4294,4351,4138,4370,3825,4641,4898,4788,5066,4959,4557,4587,4414,4856,5202,4791,5147,6110,6948,7523,8362,8391,7700,7792,7962,8342,9164,9771,10568,11038,11279,12457,12807,13157,13296,Europe
Upper Volta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Africa
Ussr,215,112,427,329,438,445,578,653,752,728,696,675,610,623,494,338,417,331,194,146,145,158,174,216,291,304,177,0,54,21,11,9,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe
Uruguay,1,1,2,1,7,3,5,2,1,1,4,1,3,1,2,2,3,3,4,0,2,1,0,4,5,5,2,3,8,6,6,1,4,1,3,4,7,8,11,9,16,11,9,23,21,19,16,22,24,15,17,South America
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,2,2,3,2,0,1,1,1,0,1,0,0,1,0,0,1,2,2,2,Asia
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,3,1,0,1,Oceania
Vatican City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe
Venezuela,12,15,9,6,14,11,5,19,18,11,19,26,16,19,20,25,23,26,23,28,40,49,41,30,26,48,43,47,38,43,32,38,40,35,42,45,53,36,29,18,34,22,32,22,31,38,26,45,28,26,38,South America
Viet Nam,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,1,0,2,6,3,5,6,10,1,9,13,12,18,32,32,Asia
"Viet Nam, South",0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia
West Africa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Africa
West Bank/Gaza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,2,Asia
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Middle East
Yugoslavia,10,7,17,17,12,14,10,20,17,15,16,17,21,25,34,21,28,24,20,11,22,28,35,35,39,34,30,28,10,6,8,3,7,7,4,6,2,7,11,0,0,0,0,0,0,0,0,0,0,0,0,Europe
Zaire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Africa
Zambia,0,0,3,0,3,3,0,2,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Africa
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,2,2,3,1,1,0,1,0,0,1,1,2,0,2,2,3,2,0,1,1,2,2,0,2,2,1,0,0,Africa
Other Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Total
Total Foreign,22312,21670,24046,26291,30507,30832,33640,33355,37144,38445,36569,37294,38068,39475,39959,42231,44009,46309,44313,49443,53132,56946,59602,64633,70380,73915,76351,80650,74788,82624,88419,88295,94812,107579,120362,131131,148997,150200,153500,167407,182866,204183,214807,224733,231194,248249,255832,274033,283781,293706,301075,Total
U.S.,72317,66855,61651,67180,68243,72343,71089,65943,66935,64093,64445,65050,62863,61441,60535,62098,62404,63316,59390,61841,63874,65487,68315,75192,82370,90643,87955,92425,99955,107233,123958,106892,120445,135483,149825,164795,177511,184245,188941,189536,207867,221784,241347,231588,224912,241977,247750,268782,287831,285096,288335,Total
Total,94629,88525,85697,93471,98750,103175,104729,99298,104079,102538,101014,102344,100931,100916,100494,104329,106413,109625,103703,111284,117006,122433,127917,139825,152750,164558,164306,173075,174743,189857,212377,195187,215257,243062,270187,295926,326508,334445,342441,356943,390733,425967,456154,456321,456106,490226,503582,542815,571612,578802,589410,Total
